bib,filename
b92848370,b92848370_2.tif
b92848473,n
b92848473,b92848473_1.tif
b92848473,b92848473_2.tif
b92849179,b92849179_1.tif
b9285039x,n
b9285039x,b9285039x_1.tif
b9285039x,b9285039x_2.tif
b92850510,b92850510_1.tif
b92860655,n
b92860655,b92860655_1.tif
b92860655,b92860655_2.tif
b92860898,b92860898_1.tif
